"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C12,C18,C19,C20,C25,C29","15","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C10","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C11,C15","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C13,C16,C17","3","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C14","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C22,C23","2","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C26","1","10uF / >5V","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C27","1","10uF / >10V","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C28","1","2n2F","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"Card1","1","TF PUSH","","","","easyeda2kicad:TF-SMD_TF-PUSH","https://lcsc.com/product-detail/Connector-Card-Sockets_SHOU-HAN-SHOU-HAN-TFDeck-TF-Deck_C393941.html"
"D1","1","INDICATOR","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"D2","1","VDD","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"D3","1","green","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D4","1","red","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J1,J4","2","USB2UART","","","","Connector_USB:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","1.47 IPS LCD","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"J3","1","ConnBattery","","","","Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal",""
"J5,J6,J7","3","lcd jumper","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"J8","1","PH Sensor","","","","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",""
"J9","1","PT100_CONN","","","","Connector_Audio:Jack_XLR_Neutrik_NC3FAH-0_Horizontal",""
